HOURBEGINNING_TIME,NEMASSBOST
01-AUG-18,$39.42
01-JUL-18,$32.92
01-JUN-18,$26.87
01-MAY-18,$24.15
01-APR-18,$46.95
01-MAR-18,$35.42
01-FEB-18,$39.49
01-JAN-18,$108.47
01-DEC-17,$71.60
01-NOV-17,$34.27
01-OCT-17,$29.94
01-SEP-17,$23.72
01-AUG-17,$24.84
01-JUL-17,$27.59
01-JUN-17,$25.47
01-MAY-17,$27.76
01-APR-17,$29.24
01-MAR-17,$35.54
01-FEB-17,$30.33
01-JAN-17,$40.22
01-DEC-16,$53.23
01-NOV-16,$25.99
01-OCT-16,$24.68
01-SEP-16,$34.61
01-AUG-16,$35.55
01-JUL-16,$31.63
01-JUN-16,$23.04
01-MAY-16,$21.18
01-APR-16,$28.43
01-MAR-16,$20.70
01-FEB-16,$29.83
01-JAN-16,$38.63
01-DEC-15,$22.48
01-NOV-15,$30.37
01-OCT-15,$37.81
01-SEP-15,$33.54
01-AUG-15,$30.08
01-JUL-15,$26.38
01-JUN-15,$21.46
01-MAY-15,$25.05
01-APR-15,$28.75
01-MAR-15,$67.13
01-FEB-15,$123.01
01-JAN-15,$71.54
01-DEC-14,$43.44
01-NOV-14,$48.39
01-OCT-14,$32.78
01-SEP-14,$34.32
01-AUG-14,$30.57
01-JUL-14,$38.24
01-JUN-14,$38.30
01-MAY-14,$37.04
01-APR-14,$45.47
01-MAR-14,$111.77
01-FEB-14,$156.24
01-JAN-14,$169.08
01-DEC-13,$96.20
01-NOV-13,$45.50              
01-OCT-13,$33.98              
01-SEP-13,$38.52              
01-AUG-13,$34.75              
01-JUL-13,$52.14              
01-JUN-13,$36.84              
01-MAY-13,$40.30              
01-APR-13,$42.89              
01-MAR-13,$53.06              
01-FEB-13,$126.65             
01-JAN-13,$86.66              
01-DEC-12,$46.59              
01-NOV-12,$54.93              
01-OCT-12,$35.61              
01-SEP-12,$33.03              
01-AUG-12,$38.50              
01-JUL-12,$41.72              
01-JUN-12,$34.33              
01-MAY-12,$25.97              
01-APR-12,$25.91              
01-MAR-12,$25.95              
01-FEB-12,$30.68              
01-JAN-12,$40.37              
01-DEC-11,$35.74              
01-NOV-11,$36.47              
01-OCT-11,$41.56              
01-SEP-11,$40.88              
01-AUG-11,$43.46              
01-JUL-11,$55.07              
01-JUN-11,$43.86              
01-MAY-11,$42.61              
01-APR-11,$43.13              
01-MAR-11,$45.46              
01-FEB-11,$54.88              
01-JAN-11,$70.78              
01-DEC-10,$64.66              
01-NOV-10,$43.83              
01-OCT-10,$35.78              
01-SEP-10,$44.58              
01-AUG-10,$52.77              
01-JUL-10,$60.00              
01-JUN-10,$47.75              
01-MAY-10,$41.92              
01-APR-10,$36.75              
01-MAR-10,$37.71              
01-FEB-10,$51.97              
01-JAN-10,$60.53              
01-DEC-09,$57.10              
01-NOV-09,$36.04              
01-OCT-09,$39.21              
01-SEP-09,$30.90              
01-AUG-09,$35.02              
01-JUL-09,$32.67              
01-JUN-09,$34.42              
01-MAY-09,$36.26              
01-APR-09,$34.78              
01-MAR-09,$41.94              
01-FEB-09,$49.06              
01-JAN-09,$69.88              
01-DEC-08,$59.49              
01-NOV-08,$59.94              
01-OCT-08,$59.74              
01-SEP-08,$64.85              
01-AUG-08,$70.21              
01-JUL-08,$108.66             
01-JUN-08,$107.25             
01-MAY-08,$99.66              
01-APR-08,$89.38              
01-MAR-08,$77.92              
01-FEB-08,$74.94              
01-JAN-08,$83.60              
