HOURBEGINNING_TIME,NEMASSBOST
01-AUG-18,$38.49
01-JUL-18,$36.67
01-JUN-18,$26.36
01-MAY-18,$24.19
01-APR-18,$45.85
01-MAR-18,$33.25
01-FEB-18,$36.84
01-JAN-18,$108.06
01-DEC-17,$80.63
01-NOV-17,$33.93
01-OCT-17,$33.01
01-SEP-17,$26.63
01-AUG-17,$23.71
01-JUL-17,$26.62
01-JUN-17,$24.83
01-MAY-17,$37.99
01-APR-17,$31.62
01-MAR-17,$34.73
01-FEB-17,$29.02
01-JAN-17,$36.99
01-DEC-16,$53.94
01-NOV-16,$24.74
01-OCT-16,$27.32
01-SEP-16,$29.76
01-AUG-16,$41.25
01-JUL-16,$29.34
01-JUN-16,$21.71
01-MAY-16,$21.25
01-APR-16,$28.11
01-MAR-16,$17.34
01-FEB-16,$27.51
01-JAN-16,$34.13
01-DEC-15,$21.54
01-NOV-15,$26.52
01-OCT-15,$33.21
01-SEP-15,$37.31
01-AUG-15,$35.55
01-JUL-15,$25.46
01-JUN-15,$19.79
01-MAY-15,$27.43
01-APR-15,$26.15
01-MAR-15,$58.34
01-FEB-15,$128.11
01-JAN-15,$66.16
01-DEC-14,$43.18
01-NOV-14,$45.25
01-OCT-14,$30.75
01-SEP-14,$36.38
01-AUG-14,$30.47
01-JUL-14,$37.81
01-JUN-14,$38.24
01-MAY-14,$35.61
01-APR-14,$41.86
01-MAR-14,$116.87
01-FEB-14,$153.39
01-JAN-14,$164.26
01-DEC-13,$99.34
01-NOV-13,$46.08              
01-OCT-13,$35.97              
01-SEP-13,$36.55              
01-AUG-13,$35.02              
01-JUL-13,$57.73              
01-JUN-13,$39.55              
01-MAY-13,$38.57              
01-APR-13,$42.78              
01-MAR-13,$54.14              
01-FEB-13,$108.86             
01-JAN-13,$84.36              
01-DEC-12,$43.78              
01-NOV-12,$56.49              
01-OCT-12,$34.80              
01-SEP-12,$33.65              
01-AUG-12,$42.82              
01-JUL-12,$41.87              
01-JUN-12,$34.40              
01-MAY-12,$28.18              
01-APR-12,$25.42              
01-MAR-12,$25.24              
01-FEB-12,$30.00              
01-JAN-12,$36.98              
01-DEC-11,$33.90              
01-NOV-11,$37.79              
01-OCT-11,$40.04              
01-SEP-11,$42.97              
01-AUG-11,$43.69              
01-JUL-11,$57.80              
01-JUN-11,$42.92              
01-MAY-11,$43.70              
01-APR-11,$43.82              
01-MAR-11,$44.46              
01-FEB-11,$56.95              
01-JAN-11,$71.15              
01-DEC-10,$62.47              
01-NOV-10,$41.37              
01-OCT-10,$35.00              
01-SEP-10,$47.22              
01-AUG-10,$54.85              
01-JUL-10,$58.99              
01-JUN-10,$50.50              
01-MAY-10,$47.89              
01-APR-10,$38.01              
01-MAR-10,$38.81              
01-FEB-10,$53.03              
01-JAN-10,$62.30              
01-DEC-09,$60.40              
01-NOV-09,$36.32              
01-OCT-09,$40.14              
01-SEP-09,$30.95              
01-AUG-09,$38.12              
01-JUL-09,$33.27              
01-JUN-09,$34.30              
01-MAY-09,$36.50              
01-APR-09,$34.34              
01-MAR-09,$40.40              
01-FEB-09,$49.14              
01-JAN-09,$67.47              
01-DEC-08,$58.43              
01-NOV-08,$60.89              
01-OCT-08,$60.16              
01-SEP-08,$65.79              
01-AUG-08,$71.33              
01-JUL-08,$107.17             
01-JUN-08,$106.11             
01-MAY-08,$105.74             
01-APR-08,$92.13              
01-MAR-08,$76.75              
01-FEB-08,$73.76              
01-JAN-08,$85.17              
