Suffolk County, Massachusetts, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200801,22.9,4.5
200802,22.8,4.1
200803,28.1,0.6
200804,38.0,1.8
200805,45.8,-0.1
200806,58.9,3.9
200807,64.8,3.7
200808,59.8,0.4
200809,55.2,2.9
200810,41.1,-1.0
200811,33.7,0.8
200812,25.1,2.4
200901,14.3,-4.1
200902,21.8,3.1
200903,27.6,0.1
200904,39.1,2.9
200905,49.0,3.1
200906,55.4,0.4
200907,60.6,-0.5
200908,63.8,4.4
200909,51.7,-0.6
200910,40.9,-1.2
200911,39.8,6.9
200912,23.3,0.6
201001,20.2,1.8
201002,24.8,6.1
201003,34.6,7.1
201004,41.2,5.0
201005,50.5,4.6
201006,59.2,4.2
201007,65.4,4.3
201008,61.9,2.5
201009,56.8,4.5
201010,44.2,2.1
201011,34.3,1.4
201012,22.7,0.0
201101,16.2,-2.2
201102,17.8,-0.9
201103,28.8,1.3
201104,40.0,3.8
201105,50.2,4.3
201106,57.1,2.1
201107,64.8,3.7
201108,63.0,3.6
201109,57.5,5.2
201110,46.0,3.9
201111,38.2,5.3
201112,28.9,6.2
201201,24.4,6.0
201202,26.4,7.7
201203,35.7,8.2
201204,40.0,3.8
201205,52.2,6.3
201206,56.4,1.4
201207,64.2,3.1
201208,63.8,4.4
201209,54.0,1.7
201210,46.4,4.3
201211,33.0,0.1
201212,29.6,6.9
201301,22.1,3.7
201302,23.0,4.3
201303,29.3,1.8
201304,37.6,1.4
201305,47.2,1.3
201306,58.8,3.8
201307,67.7,6.6
201308,60.3,0.9
201309,52.6,0.3
201310,43.2,1.1
201311,31.8,-1.1
201312,23.9,1.2
201401,16.9,-1.5
201402,18.0,-0.7
201403,21.9,-5.6
201404,37.4,1.2
201405,48.6,2.7
201406,56.1,1.1
201407,63.8,2.7
201408,59.0,-0.4
201409,53.7,1.4
201410,46.4,4.3
201411,32.5,-0.4
201412,30.4,7.7
201501,16.1,-2.3
201502,7.1,-11.6
201503,22.9,-4.6
201504,37.6,1.4
201505,50.1,4.2
201506,54.7,-0.3
201507,63.0,1.9
201508,63.2,3.8
201509,56.9,4.6
201510,42.3,0.2
201511,37.5,4.6
201512,36.1,13.4
201601,22.9,4.5
201602,23.1,4.4
201603,33.2,5.7
201604,36.3,0.1
201605,48.1,2.2
201606,56.7,1.7
201607,64.1,3.0
201608,64.0,4.6
201609,57.1,4.8
201610,44.3,2.2
201611,35.6,2.7
201612,25.2,2.5
201701,26.8,8.4
201702,26.0,7.3
201703,24.8,-2.7
201704,42.1,5.9
201705,47.8,1.9
201706,57.5,2.5
201707,62.1,1.0
201708,59.5,0.1
201709,57.0,4.7
201710,49.8,7.7
201711,32.6,-0.3
201712,21.4,-1.3
201801,18.7,0.3
201802,27.7,9.0
201803,28.9,1.4
201804,35.3,-0.9
201805,51.0,5.1
201806,56.0,1.0
201807,65.2,4.1
201808,66.8,7.4
